Product Group,Category,Series,SKU,Name,Product life cycle,Promo Catalogue Print?,Sale price in Australia,Margin,AU24 (FY25 CMSP),AU23 (LIST),AU03 (DIST),AU21 (END),AU04 (CNT),AU05 (WHS),AU06 (PNB),AU07 (TSC),AU08 (RES),AU09 (OEM),FA at 7-04-2025
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0006B,ZP-LS100S 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0007M,ZP-LS100L 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0008R,ZP-LS300S 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0009G,ZP-LS300L 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0010M,ZP-LS600S 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0011R,ZP-LS600L 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0012G,ZP-LS025S 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0013E,ZP-LS025L 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0014C,ZP-LS050S 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0015A,ZP-LS050L 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0016M,ZP-LS100S 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0017H,ZP-LS100L 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0018F,ZP-LS300S 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0019D,ZP-LS300L 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0020H,ZP-LS600S 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0021F,ZP-LS600L 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0022D,ZP-LS025SC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0023B,ZP-LS025LC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0024M,ZP-LS050SC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0025R,ZP-LS050LC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0026G,ZP-LS100SC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0027E,ZP-LS100LC 2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0028C,ZP-LS300SC 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0029A,ZP-LS300LC 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0030E,ZP-LS600SC 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0031C,ZP-LS600LC 2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0032A,ZP-LS025SC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0033M,ZP-LS025LC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0034H,ZP-LS050SC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0035F,ZP-LS050LC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0036D,ZP-LS100SC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0037B,ZP-LS100LC 0.2M,New Product,,999,77%,230.1,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0038M,ZP-LS300SC 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0039R,ZP-LS300LC 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0040B,ZP-LS600SC 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0041M,ZP-LS600LC 0.2M,New Product,,999,76%,240.838,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0082H,ZP-L3000,New Product,,999,87%,128.5,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0083F,ZP-L3050,New Product,,999,87%,128.5,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0084D,ZP-L3010,New Product,,999,87%,128.856,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0085B,ZP-L3060,New Product,,999,89%,113.3,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0086M,ZP-L3510,New Product,,999,89%,113.3,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0087R,ZP-L3560,New Product,,999,89%,113.3,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0088G,ZP-L3590,New Product,,999,89%,105.8,0,0,0,0,0,0,0,0,0,0
Measurement Sensors,Laser displacement sensor,ZP-L,ZP  0089E,ZP-EIP,New Product,,999,77%,234.702,0,0,0,0,0,0,0,0,0,0
Input and Output (I/O),Remote I/O,NX I/O Series,NXS30010B,NX-SL5700,Key Promotional Product,,,#DIV/0!,611.94,2177.56,1197.66,1712.364,1959.8,1633.18,1742.04,1633.18,1415.42,1306.54,1197.66
Input and Output (I/O),Remote I/O,NX I/O Series,NXS30011M,NX-SL5500,Key Promotional Product,✅,1399,69%,437.57,1557.56,856.66,1197.52,1401.8,1168.18,1246.04,1168.18,1012.42,934.54,856.66
Input and Output (I/O),Remote I/O,NX I/O Series,NXS32007C,NX-SL3300,Key Promotional Product,,,#DIV/0!,122.388,768.04,460.56,250.819,614.44,537.64,652.86,491.56,491.56,491.56,491.56
Input and Output (I/O),Remote I/O,NX I/O Series,NXS32008A,NX-SL3500,Key Promotional Product,,,#DIV/0!,198.979,1248.24,748.4,414.018,998.58,873.74,1061,798.88,798.88,798.88,798.88
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3187G,3G3MX2-AB002-V2,Key Promotional Product,✅,320,44%,179.612,249.61,212.17,197.891,249.61,249.61,237.13,249.61,249.61,249.61,249.61
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3188E,3G3MX2-AB004-V2,Key Promotional Product,✅,320,43%,181.267,256.89,218.35,229.566,256.89,256.89,244.04,256.89,256.89,256.89,256.89
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3189C,3G3MX2-AB007-V2,Key Promotional Product,✅,440,52%,212.31,273.53,232.5,0,273.53,273.53,259.85,273.53,273.53,273.53,273.53
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3190G,3G3MX2-AB015-V2,Key Promotional Product,✅,500,54%,229.646,300.57,255.48,0,300.57,300.57,285.54,300.57,300.57,300.57,300.57
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3191E,3G3MX2-AB022-V2,Key Promotional Product,✅,675,47%,360.663,463.85,394.27,417.549,463.85,463.85,440.65,463.85,463.85,463.85,463.85
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3176A,3G3MX2-A4004-V2,Key Promotional Product,✅,500,50%,247.754,310.97,264.32,359.438,310.97,310.97,295.42,310.97,310.97,310.97,310.97
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3177M,3G3MX2-A4007-V2,Key Promotional Product,✅,560,57%,239.975,310.97,264.32,361.85,310.97,310.97,295.42,310.97,310.97,310.97,310.97
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3178H,3G3MX2-A4015-V2,Key Promotional Product,✅,675,61%,265.382,354.65,301.45,394.952,354.65,354.65,336.91,354.65,354.65,354.65,354.65
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3179F,3G3MX2-A4022-V2,Key Promotional Product,✅,735,57%,319.499,414.97,352.72,493.522,414.97,414.97,394.22,414.97,414.97,414.97,414.97
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3180M,3G3MX2-A4030-V2,Key Promotional Product,✅,855,63%,316.621,436.81,371.29,0,436.81,436.81,414.97,436.81,436.81,436.81,436.81
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3181H,3G3MX2-A4040-V2,Key Promotional Product,✅,975,63%,365.47,546.01,464.11,565.934,546.01,546.01,518.71,546.01,546.01,546.01,546.01
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3182F,3G3MX2-A4055-V2,Key Promotional Product,✅,1215,58%,515.686,666.65,566.65,798.344,666.65,666.65,633.31,666.65,666.65,666.65,666.65
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3183D,3G3MX2-A4075-V2,Key Promotional Product,✅,1570,64%,566.134,797.69,678.03,900.554,797.69,797.69,757.8,797.69,797.69,797.69,797.69
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3184B,3G3MX2-A4110-V2,Key Promotional Product,✅,1599.8,50%,793.842,1086.81,923.79,0,1086.81,1086.81,1032.47,1086.81,1086.81,1086.81,1086.81
Variable Speed Drives,Variable Speed Drives,MX2,3G3M3185M,3G3MX2-A4150-V2,Key Promotional Product,✅,1900,50%,957.501,1375.93,1169.54,1404.291,1375.93,1375.93,1307.13,1375.93,1375.93,1375.93,1375.93
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6024A,3G3RX2-A4185,Key Promotional Product,✅,2019,42%,1170.105,1752.38,1489.54,1685.399,1752.38,1752.38,1664.76,1752.38,1752.38,1752.38,1752.38
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6025M,3G3RX2-A4220,Key Promotional Product,✅,2334,40%,1406.943,2136.66,1816.16,1781.6,2136.66,2136.66,2029.84,2136.66,2136.66,2136.66,2136.66
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6026H,3G3RX2-A4300,Key Promotional Product,✅,3060,37%,1930.729,2739.44,2328.54,2778.635,2739.44,2739.44,2602.48,2739.44,2739.44,2739.44,2739.44
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6027F,3G3RX2-A4370,Key Promotional Product,✅,3438,39%,2107.572,3204.46,2723.78,3035.777,3204.46,3204.46,3044.22,3204.46,3204.46,3204.46,3204.46
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6028D,3G3RX2-A4450,Key Promotional Product,✅,3720,32%,2541.921,3577.96,3041.26,2872.145,3577.96,3577.96,3399.06,3577.96,3577.96,3577.96,3577.96
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6029B,3G3RX2-A4550,Key Promotional Product,✅,5160,47%,2750.443,4272.24,3631.4,2398.181,4272.24,4272.24,4058.62,4272.24,4272.24,4272.24,4272.24
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6030F,3G3RX2-B4750,Key Promotional Product,✅,6520,38%,4070.457,5875,4993.76,6027.468,5875,5875,5581.24,5875,5875,5875,5875
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6031D,3G3RX2-B4900,Key Promotional Product,✅,7440,29%,5257.971,7082.72,6020.32,5959.476,7082.72,7082.72,6728.58,7082.72,7082.72,7082.72,7082.72
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6032B,3G3RX2-B411K,Key Promotional Product,✅,8320,28%,5957.491,9324.86,7926.14,8535.723,9324.86,9324.86,8858.62,9324.86,9324.86,9324.86,9324.86
Variable Speed Drives,Variable Speed Drives,RX2,3G3R6033M,3G3RX2-B413K,Key Promotional Product,✅,9360,18%,7714.279,11219.32,9536.42,8488.716,11219.32,11219.32,10658.36,11219.32,11219.32,11219.32,11219.32
Variable Speed Drives,Variable Speed Drives,MX2,3G3A0121D,3G3AX-MX2-ECT,Key Promotional Product,✅,199,53%,94.489,148.98,126.64,172.955,148.98,148.98,141.52,148.98,148.98,148.98,148.98
Variable Speed Drives,Variable Speed Drives,RX2,3G3A0123M,3G3AX-RX-ECT,Key Promotional Product,✅,399,71%,116.729,572.32,365.98,209.158,457.84,400.62,486.48,366.28,366.28,366.28,366.28
